prov,area,people,land,sig_cd
전북,부안군,48066,495,45800
전남,목포시,209890,51.73,46110
전남,여수시,267816,512.33,46130
전남,순천시,276329,911.04,46150
전남,나주시,116654,608.49,46170
전남,광양시,154692,464.86,46230
전남,담양군,44623,455.07,46710
전남,곡성군,26566,547.29,46720
전남,구례군,24025,442.97,46730
전남,고흥군,60190,807.17,46770
전남,보성군,37045,664.6,46780
전남,화순군,60735,787.17,46790
전남,장흥군,34451,622.38,46800
전남,강진군,32189,500.9,46810
전남,해남군,63120,1045.13,46820
전남,영암군,51391,612.43,46830
전남,무안군,92687,450.94,46840
전남,함평군,30010,392.1,46860
전남,영광군,52098,474.55,46870
전남,장성군,42026,518.35,46880
전남,완도군,45631,396.87,46890
전남,진도군,28478,440.11,46900
전남,신안군,38173,655.86,46910
경북,포항시남구,220613,394.05,47111
경북,포항시북구,270968,736.67,47113
경북,경주시,244769,1324.95,47130
경북,김천시,135446,1010.05,47150
경북,안동시,153159,1522.27,47170
경북,구미시,404820,615.48,47190
경북,영주시,98870,670.17,47210
경북,영천시,98143,919.23,47230
경북,상주시,91850,1254.71,47250
경북,문경시,67257,912.05,47280
경북,경산시,266398,411.88,47290
경북,의성군,48690,1174.59,47730
경북,청송군,23716,846.13,47750
경북,영양군,15328,815.87,47760
경북,영덕군,33210,741.28,47770
경북,청도군,40582,695.36,47820
경북,고령군,30062,384.24,47830
경북,성주군,41452,616.15,47840
경북,칠곡군,107383,451.05,47850
경북,예천군,54609,661.58,47900
경북,봉화군,28836,1202.7,47920
경북,울진군,46124,990.63,47930
경북,울릉군,9099,73.03,47940
경남,창원시의창구,209695,204.27,48121
경남,창원시성산구,244489,89.11,48123
경남,창원시마산합포구,178211,241.2,48125
경남,창원시마산회원구,178724,90.61,48127
경남,창원시진해구,188739,124.04,48129
경남,진주시,338785,712.94,48170
경남,통영시,118481,239.92,48220
경남,사천시,108504,398.82,48240
경남,김해시,531676,463.55,48250
경남,밀양시,100691,798.7,48270
경남,거제시,232972,403.88,48310
경남,양산시,359531,485.7,48330
