store,addr,prov,area,div
압구정로데오,서울 강남구 압구정로 328 (신사동) 서울 강남구 신사동 660-5,서울,강남구,서울 강남구
신사역,서울 강남구 도산대로 134 (논현동) 페이토빌딩,서울,강남구,서울 강남구
학동역2,서울 강남구 학동로 219 (논현동),서울,강남구,서울 강남구
대치동,서울 강남구 도곡로 517 (대치동) 서연빌딩 1층,서울,강남구,서울 강남구
코엑스MALL,서울 강남구 영동대로 513 (삼성동) B1층 H102호,서울,강남구,서울 강남구
일원동,서울 강남구 일원로 28 (일원동),서울,강남구,서울 강남구
역삼역,서울 강남구 논현로 509 (역삼동) 지상1층2층,서울,강남구,서울 강남구
강남구청역 (구: 삼성동),서울 강남구 학동로 402 (삼성동) 천마빌딩 103호,서울,강남구,서울 강남구
명일DI점,서울 강동구 양재대로 1651 (명일동),서울,강동구,서울 강동구
천호역,서울 강동구 천호옛길 88 (성내동) G-lite빌딩 1층,서울,강동구,서울 강동구
둔촌동,서울 강동구 양재대로 1390 (둔촌동),서울,강동구,서울 강동구
수유역,"서울 강북구 도봉로 315 (수유동, 에피소드 수유 838)",서울,강북구,서울 강북구
미아사거리역,서울 강북구 도봉로10길 12 (미아동),서울,강북구,서울 강북구
까치산역,"서울 강서구 강서로 43-17 (화곡동) 1층, M101호",서울,강서구,서울 강서구
마곡나루,"서울 강서구 마곡중앙5로 6 (마곡동) 1층 103,104,130호",서울,강서구,서울 강서구
염창역,서울 강서구 공항대로 625 (염창동) 1F,서울,강서구,서울 강서구
발산역,서울 강서구 공항대로 271 (마곡동) 마곡동 723-2,서울,강서구,서울 강서구
신림역,"서울 관악구 신림로 318 (신림동, 청암두산위브센티움)",서울,관악구,서울 관악구
서울대입구역,서울 관악구 남부순환로 1810 (봉천동),서울,관악구,서울 관악구
봉천역,서울 관악구 남부순환로 1735 (봉천동),서울,관악구,서울 관악구
건대입구역,서울 광진구 아차산로 237 (화양동) 1층,서울,광진구,서울 광진구
세종대,서울 광진구 광나루로 396 (화양동),서울,광진구,서울 광진구
광장동,서울 광진구 광나루로 604 (구의동) 진넥스베르디엠 101호,서울,광진구,서울 광진구
구로디지털2,서울 구로구 디지털로 300 (구로동) 1층,서울,구로구,서울 구로구
독산동,서울 금천구 독산로 195 (독산동),서울,금천구,서울 금천구
가산디지털,서울 금천구 가산디지털1로 186 (가산동) 제이플라츠빌딩 지상 1층 110-1호,서울,금천구,서울 금천구
석계역,서울 노원구 석계로1길 14 (월계동),서울,노원구,서울 노원구
노원역,서울 노원구 동일로 1401 (상계동),서울,노원구,서울 노원구
중계은행사거리,서울 노원구 한글비석로 227 (중계동),서울,노원구,서울 노원구
월계이마트,서울 노원구 마들로3길 15 (월계동) 월계이마트2층 (월계동),서울,노원구,서울 노원구
창동역,"서울 도봉구 마들로13길 61 (창동) 1층 108-4, 108-5호",서울,도봉구,서울 도봉구
우이동,서울 도봉구 삼양로 544 (쌍문동),서울,도봉구,서울 도봉구
전농동,서울 동대문구 전농로 118 (전농동),서울,동대문구,서울 동대문구
한국외대,서울 동대문구 이문로 114 (이문동),서울,동대문구,서울 동대문구
보라매,"서울 동작구 보라매로5가길 7 (신대방동, 캐릭터 그린빌)",서울,동작구,서울 동작구
노량진역,서울 동작구 노량진로 151 (노량진동) 맞이방 광장1층,서울,동작구,서울 동작구
상수역,서울 마포구 와우산로 48 (상수동),서울,마포구,서울 마포구
상암DMC,서울 마포구 월드컵북로 396 (상암동) 1층,서울,마포구,서울 마포구
홍익대,서울 마포구 양화로 156 (동교동) LG팰리스빌딩,서울,마포구,서울 마포구
명지대,서울 서대문구 거북골로 53 (남가좌동),서울,서대문구,서울 서대문구
신촌역,서울 서대문구 신촌로 79 (창천동),서울,서대문구,서울 서대문구
서울교대S,서울 서초구 서초중앙로 99 (서초동),서울,서초구,서울 서초구
사당역,"서울 서초구 방배천로 11 (방배동, SK리더스뷰)",서울,서초구,서울 서초구
이수역,서울 서초구 동작대로 114 (방배동) (재)원불교 유문빌딩 1층,서울,서초구,서울 서초구
강남역,서울 서초구 서초대로77길 15 (서초동) 6,서울,서초구,서울 서초구
양재동,서울 서초구 남부순환로350길 4 (양재동),서울,서초구,서울 서초구
서초우성,서울 서초구 사임당로 171 (서초동) EWR빌딩 1층,서울,서초구,서울 서초구
서초동,서울 서초구 효령로 283 (서초동),서울,서초구,서울 서초구
강남고속터미널,서울 서초구 신반포로 189 (잠원동) 반포쇼핑타운 4동 1층,서울,서초구,서울 서초구
신금호역,서울 성동구 무수막길 97 (금호동2가) 서울 성동구 무수막길 97 (금호동2가) 1층,서울,성동구,서울 성동구
고대안암,서울 성북구 개운사길 5 (안암동5가),서울,성북구,서울 성북구
돈암동,서울 성북구 동소문로20나길 18 (동선동1가),서울,성북구,서울 성북구
잠실새내,서울 송파구 올림픽로 96 (잠실동) 104호,서울,송파구,서울 송파구
문정역,서울 송파구 송파대로 167 (문정동) B동 135호,서울,송파구,서울 송파구
잠실롯데월드,서울 송파구 올림픽로 240 (잠실동) 롯데월드 웰빙센터 1층 09호,서울,송파구,서울 송파구
잠실야구장,서울 송파구 올림픽로 25 (잠실동) 종합운동장 잠실야구장 내,서울,송파구,서울 송파구
석촌역,서울 송파구 백제고분로 364 (석촌동) 대준빌딩 1 층,서울,송파구,서울 송파구
개롱역,서울 송파구 오금로 404 (가락동),서울,송파구,서울 송파구
목동점,"서울 양천구 오목로 300 (목동, 현대하이페리온2) 하이페리온 206동 112,113,120호",서울,양천구,서울 양천구
신정네거리역,서울 양천구 중앙로 277 (신정동),서울,양천구,서울 양천구
당산역,서울 영등포구 양평로 46 (당산동6가),서울,영등포구,서울 영등포구
영등포역,서울 영등포구 경인로 846 (영등포동) 영등포역사3층,서울,영등포구,서울 영등포구
여의도,서울 영등포구 국회대로70길 15-1 (여의도동) 극동VIP빌딩 1층,서울,영등포구,서울 영등포구
숙대입구,서울 용산구 한강대로 297 (갈월동),서울,용산구,서울 용산구
한남순천향,서울 용산구 대사관로 62 (한남동),서울,용산구,서울 용산구
용산아이파크몰,서울 용산구 한강대로23길 55 (한강로3가) 아이파크몰 6층,서울,용산구,서울 용산구
응암,서울 은평구 은평로 127 (응암동),서울,은평구,서울 은평구
연신내역,서울 은평구 연서로 226-1 (대조동),서울,은평구,서울 은평구
청계천,서울 종로구 청계천로 35 (서린동) 관정빌딩 1층,서울,종로구,서울 종로구
대학로,서울 종로구 대학로 120 (동숭동),서울,종로구,서울 종로구
광화문,서울 종로구 세종대로23길 7 (세종로),서울,종로구,서울 종로구
충무로역,서울 중구 퇴계로 213 (충무로4가),서울,중구,서울 중구
먹골역,"서울 중랑구 공릉로 8 (묵동, 대길빌딩)",서울,중랑구,서울 중랑구
망우동,서울 중랑구 망우로 410 (망우동),서울,중랑구,서울 중랑구
부산명지,"부산 강서구 명지국제8로 230 (명지동) 1층 106호,107호",부산,강서구,부산 강서구
부산구서DT,부산 금정구 중앙대로 1824 (구서동),부산,금정구,부산 금정구
경성대부경대,부산 남구 수영로 324 (대연동) 리마크빌대연 주상복합 1층,부산,남구,부산 남구
부산서면,부산 부산진구 중앙대로 681-1 (부전동),부산,부산진구,부산 부산진구
화명역,부산 북구 화명대로 32 (화명동) 부산시 북구 화명대로 32 1층,부산,북구,부산 북구
사상역,부산 사상구 사상로 200 (괘법동),부산,사상구,부산 사상구
하단역,부산 사하구 낙동남로 1403 (하단동) 1층,부산,사하구,부산 사하구
수영역,"부산 수영구 수영로 700 (광안동, 베스테이 센트럴뷰)",부산,수영구,부산 수영구
연제이마트,부산 연제구 연수로 89 (연산동) 연제이마트 1층 푸드코트,부산,연제구,부산 연제구
부산장산역,부산 해운대구 세실로 86 (좌동),부산,해운대구,부산 해운대구
대구용산DT,대구 달서구 달구벌대로 1393 (용산동),대구,달서구,대구 달서구
상인네거리,대구 달서구 월배로 227 (상인동),대구,달서구,대구 달서구
대구신암,"대구 동구 동대구로 590 (신암동, 동대구역화성파크드림아파트) 동대구역화성파크드림 303동 109호",대구,동구,대구 동구
칠곡3지구,대구 북구 학정로 439 (동천동),대구,북구,대구 북구
침산네거리,대구 북구 침산로 144 (침산동),대구,북구,대구 북구
대구평리,대구 서구 서대구로 122 (평리동) 1층,대구,서구,대구 서구
내당동,대구 서구 달구벌대로 1689 (내당동),대구,서구,대구 서구
범어네거리,대구 수성구 동대구로 311 (범어동) 범어애플타워 1층,대구,수성구,대구 수성구
대구시지,대구 수성구 달구벌대로 3197 (매호동),대구,수성구,대구 수성구
황금동,대구 수성구 동대구로 155 (황금동),대구,수성구,대구 수성구
대구문화동,대구 중구 국채보상로 608 (문화동),대구,중구,대구 중구
계산동,인천 계양구 계양대로 214 (계산동) 에이스타운 1층,인천,계양구,인천 계양구
인천논현,인천 남동구 논고개로 61 (논현동),인천,남동구,인천 남동구
인천구월,"인천 남동구 남동대로 784 (구월동) 1,2층",인천,남동구,인천 남동구
간석HP,인천 남동구 경원대로 971 (간석동) 홈플러스 2층,인천,남동구,인천 남동구
부평역,인천 부평구 광장로 16 (부평동) 지상,인천,부평구,인천 부평구
검단아라,"인천 서구 이음5로 36 (원당동) 111호, 112호, 113호",인천,서구,인천 서구
검단역,인천 서구 완정로 172 (마전동),인천,서구,인천 서구
인천청라,인천 서구 중봉대로586번길 19 (연희동),인천,서구,인천 서구
